codigo_dane,pai_et_municipios,establecimientos_educativos,matriculados,registrados,presentes,publicados
313052800054,ARJONA,CENTRO EDUCATIVO LICEO MI NUEVA ESPERANZA,5,5,5,5
313052000741,ARJONA,CONCEBIR,1,1,1,1
313052800011,ARJONA,NUEVO ALPES SCHOOL,24,24,23,23
213140000101,ARROYOHONDO,INSTITUCION EDUCATIVA DE MACHADO,11,10,10,10
213140000268,ARROYOHONDO,INSTITUCIÓN EDUCATIVA TÉCNICA DE ARROYO HONDO ROBERTO BOTERO MORALES,80,76,75,75
213074000847,BARRANCO DE LOBA,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA Y PESQUERA SEGUNDO AMARIS MATUTE,38,38,37,37
313074000019,BARRANCO DE LOBA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA JULIO RAMÓN FACIOLINCE,66,66,65,65
213074001029,BARRANCO DE LOBA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y ACUÍCOLA LUIS GUILLERMO VIDES ESCOBAR,38,24,22,22
213074000081,BARRANCO DE LOBA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA JORGE ELIECER GAITAN,17,9,9,9
213074001088,BARRANCO DE LOBA,INSTITUCIÓN EDUCATIVA LAS DELICIAS MINAS DE SANTA CRUZ,19,17,15,15
213074001177,BARRANCO DE LOBA,INSTITUCIÓN EDUCATIVA DE PUEBLITO MEJIA,14,13,13,13
113140000191,CALAMAR,INSTITUCIÓN EDUCATIVA TÉCNICA  AGROINDUSTRIAL DE CALAMAR,98,76,75,75
413140000259,CALAMAR,INSTITUCIÓN EDUCATIVA GUSTAVO SALOM DE BARRANCA NUEVA,21,19,19,19
113140000115,CALAMAR,INSTITUCIÓN EDUCATIVA FRANCISCO DE PAULA SANTANDER,103,89,89,89
413140000208,CALAMAR,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA JÓSE ANTONIO GALÁN,59,46,46,46
213140000365,CALAMAR,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE EL YUCAL,40,31,30,30
213670001125,CANTAGALLO,INSTITUCIÓN EDUCATIVA TÉCNICA INDUSTRIAL Y AGROPECUARIA JOSE MARIA CUELLAR DIAZ,75,74,74,74
21316000006,CANTAGALLO,INSTITUCIÓN EDUCATIVA LA VICTORIA,13,10,9,9
113188000036,CICUCO,INSTITUCIÓN EDUCATIVA TÉCNICA ACUÍCOLA NUESTRA SEÑORA DE MONTECLARO,77,75,75,75
213188000057,CICUCO,INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE LOBA,23,21,21,21
113188000028,CICUCO,INSTITUCIÓN EDUCATIVA TÉCNICA AGROAMBIENTAL SANTA ROSA DE LIMA,56,55,55,55
213468000974,CICUCO,INSTITUCIÓN EDUCATIVA LA PEÑA,19,17,17,17
313212000131,CÓRDOBA,INSTITUCIÓN EDUCATIVA OSWALDO OCHOA BECERRA,50,49,49,49
213212000373,CÓRDOBA,INSTITUCIÓN EDUCATIVA TÉCNICA   AGROPECUARIA DE TACAMOCHO,29,29,29,29
213212000021,CÓRDOBA,INSTITUCIÓN EDUCATIVA TÉCNICA  AGROPECUARIA  LUIS VILLAFAÑE PAREJA,26,26,26,26
21321200008,CÓRDOBA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROINDUSTRIAL DE GUAYMARAL,26,26,26,26
213212000063,CÓRDOBA,INSTITUCIÓN EDUCATIVA TÉCNICA  EN INFORMÀTICA DE SINCELEJITO,35,29,29,29
213212000331,CÓRDOBA,"INSTITUCIÓN EDUCATIVA TÉCNICA  AGROPECUARIA, ECOLÓGICA E INFORMÁTICA RAFAEL NUÑEZ",30,20,20,20
213212000101,CÓRDOBA,INSTITUCIÓN EDUCATIVA SANTA LUCIA,21,18,18,18
213673000081,CLEMENCIA,INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DEL CARMEN DE LAS CARAS,29,17,17,17
413673000226,CLEMENCIA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA SAN JOSÉ DE CLEMENCIA,135,111,110,110
113244003272,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA INDUSTRIAL JUAN FEDERICO HOLLMAN,131,130,129,129
313244000612,EL CARMEN DE BOLÍVAR,CORPORACION EDUCATIVA ANTONIO RICAURTE,18,18,18,18
11324400001,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA MANUEL EDMUNDO MENDOZA,92,89,89,89
21324400107,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA MAMON DE MARÍA,18,16,16,16
113244001041,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA  AGROPECUARIA GEOVANNY CRISTINI CRISTINI,65,61,59,59
213244000944,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA ALTA MONTAÑA,0,20,18,18
113244000877,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA Y DE PARTICIPACION COMUNITARIA JULIO CESAR TURBAY,25,23,23,23
113244000982,EL CARMEN DE BOLÍVAR,INSTITUCIÒN EDUCATIVA TÈCNICA ECOLÒGICA EMMA CECILIA ARNOLD,33,33,33,33
213244001975,EL CARMEN DE BOLÍVAR,INSTITUCIÒN EDUCATIVA GABRIEL GARCÌA TABOADA,48,46,46,46
31324400071,EL CARMEN DE BOLÍVAR,COL SAN RAFAEL,22,22,22,22
113244000338,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA TÉCNICA  GABRIELA MISTRAL,60,56,56,56
213244000952,EL CARMEN DE BOLÍVAR,INSTITUCIÓN EDUCATIVA DE CARACOLÍ,50,49,49,49
