codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_pcn,desviacion,comparacion_dcn,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,aprendizaje_7,aprendizaje_8,aprendizaje_9,aprendizaje_10,aprendizaje_11,aprendizaje_12,aprendizaje_13,aprendizaje_14,aprendizaje_15,aprendizaje_16,aprendizaje_17,aprendizaje_18,aprendizaje_19,aprendizaje_20,aprendizaje_21,aprendizaje_22,aprendizaje_23,aprendizaje_24,aprendizaje_25,aprendizaje_26,Competencia
311769000076,BOGOTÁ D.C.,COLEGIO DIVINO SALVADOR,61,Menor,6,Mayor,0%,19%,79%,2%,14%,36%,18%,37%,47%,12%,33%,39%,33%,8%,14%,49%,21%,37%,30%,31%,27%,54%,43%,33%,20%,N.D.,49%,24%,32%,30%,Ciencias Naturales
211001076346,BOGOTÁ D.C.,COLEGIO CAMP JAIME GARZON (IED),51,Similar,7,Similar,5%,67%,29%,0%,42%,50%,42%,38%,60%,49%,47%,63%,51%,27%,17%,66%,23%,62%,52%,62%,34%,65%,55%,52%,45%,N.D.,68%,37%,50%,50%,Ciencias Naturales
311001046328,BOGOTÁ D.C.,LICEO SAN BASILIO MAGNO,55,Similar,8,Similar,7%,37%,56%,0%,25%,41%,26%,51%,57%,34%,34%,42%,54%,71%,23%,42%,33%,46%,34%,51%,36%,64%,47%,38%,37%,N.D.,47%,32%,31%,47%,Ciencias Naturales
311001005737,BOGOTÁ D.C.,COL COOP DEL MAGISTERIO DE CUNDINAMARCA,57,Similar,8,Similar,3%,35%,58%,3%,33%,46%,23%,41%,60%,28%,26%,42%,36%,6%,21%,47%,22%,53%,30%,44%,24%,55%,50%,33%,33%,N.D.,57%,35%,36%,38%,Ciencias Naturales
311001075506,BOGOTÁ D.C.,LIC PSICOPEDAG NUEVA CASTILLA,56,Similar,9,Similar,9%,27%,64%,0%,26%,31%,23%,41%,54%,35%,29%,56%,37%,15%,25%,53%,23%,51%,44%,47%,26%,63%,41%,53%,32%,N.D.,58%,33%,31%,40%,Ciencias Naturales
311001027706,BOGOTÁ D.C.,COL ESTRADA DE MARIA AUXILIADORA,53,Similar,9,Similar,11%,37%,53%,0%,46%,56%,38%,51%,67%,32%,37%,51%,26%,30%,31%,50%,45%,63%,39%,42%,39%,55%,44%,35%,41%,N.D.,55%,27%,44%,39%,Ciencias Naturales
311001093253,BOGOTÁ D.C.,COLEGIO MAYOR DEL CLARET,59,Similar,7,Similar,0%,35%,60%,5%,33%,41%,13%,39%,46%,22%,36%,46%,34%,17%,13%,33%,13%,48%,28%,36%,18%,38%,29%,49%,28%,N.D.,54%,24%,48%,22%,Ciencias Naturales
311001087989,BOGOTÁ D.C.,COLEGIO COLSUBSIDIO CIUDADELA,62,Menor,7,Similar,0%,18%,70%,12%,21%,29%,19%,37%,51%,18%,24%,39%,35%,6%,11%,38%,20%,39%,28%,29%,19%,43%,34%,35%,25%,N.D.,44%,23%,36%,24%,Ciencias Naturales
311001020213,BOGOTÁ D.C.,LIC CAMPESTRE CAFAM,64,Menor,6,Mayor,0%,10%,76%,14%,21%,26%,10%,31%,52%,14%,20%,28%,33%,8%,10%,39%,19%,31%,21%,17%,16%,50%,28%,22%,19%,N.D.,41%,16%,35%,23%,Ciencias Naturales
311001088764,BOGOTÁ D.C.,LICEO CHICO CAMPESTRE,59,Similar,10,Similar,0%,35%,50%,15%,19%,51%,22%,38%,45%,18%,35%,49%,36%,0%,8%,43%,28%,31%,36%,38%,19%,48%,61%,37%,39%,N.D.,45%,24%,38%,39%,Ciencias Naturales
