codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_pmat,desviacion,comparacion_dmat,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
152227000028,CUMBAL,INSTITUCION EDUCATIVA DIVINO NIÑO JESUS,53,Similar,11,Similar,5%,34%,55%,6%,57%,39%,52%,Matemáticas
252227000863,CUMBAL,INSTITUCION EDUCATIVA YO REINARE,59,Menor,8,Mayor,0%,11%,83%,6%,58%,19%,47%,Matemáticas
252227000936,CUMBAL,INSTITUCION EDUCATIVA TECNICA AGROPECUARIA INDIGENA CUMBE,51,Similar,7,Mayor,0%,33%,67%,0%,63%,36%,74%,Matemáticas
252227000791,CUMBAL,INSTITUCION EDUCATIVA NUESTRO SE¿OR DEL RIO DE CHILES,53,Similar,10,Similar,6%,32%,62%,0%,60%,42%,49%,Matemáticas
152227000222,CUMBAL,INSTITUCION EDUCATIVA JOSE ANTONIO LLORENTE,55,Similar,11,Similar,3%,31%,58%,8%,60%,34%,52%,Matemáticas
252227000162,CUMBAL,INSTITUCION EDUCATIVA ANDES DE CUICAL,52,Similar,8,Mayor,0%,52%,44%,4%,65%,38%,55%,Matemáticas
252227000138,CUMBAL,INSTITUCION EDUCATIVA SAN JUAN DE MAYASQUER,41,Mayor,8,Mayor,22%,67%,11%,0%,71%,61%,71%,Matemáticas
152233000013,CUMBITARA,INSTITUCION EDUCATIVA SAN PEDRO,51,Similar,11,Similar,6%,37%,54%,3%,67%,41%,64%,Matemáticas
252233000425,CUMBITARA,INSTITUCION EDUCATIVA AGROPECUARIO SANTA ROSA,48,Similar,9,Similar,18%,35%,47%,0%,73%,40%,60%,Matemáticas
252233000212,CUMBITARA,INSTITUCIÓN EDUCATIVA PIZANDA,57,Similar,11,Similar,10%,20%,70%,0%,57%,25%,55%,Matemáticas
252233000085,CUMBITARA,INSTITUCIÓN EDUCATIVA SIDON,46,Similar,7,Mayor,10%,60%,30%,0%,78%,48%,68%,Matemáticas
25200100274,CHACHAGÜÍ,INSTITUCION EDUCATIVA CHACHAGUI,51,Similar,9,Similar,4%,48%,47%,1%,62%,43%,60%,Matemáticas
252240000015,CHACHAGÜÍ,INSTITUCION EDUCATIVA NUESTRA SEÑORA DE LAS LAJAS,48,Similar,9,Similar,8%,49%,44%,0%,72%,42%,65%,Matemáticas
452001004423,CHACHAGÜÍ,INSTITUCION EDUCATIVA SAGRADOS CORAZONES DE JESUS Y MARIA,59,Menor,13,Similar,0%,24%,59%,18%,38%,26%,41%,Matemáticas
152250000566,EL CHARCO,INSTITUCION EDUCATIVA TECNICA COMERCIAL SAN JUAN BAUTISTA,38,Mayor,11,Similar,50%,36%,14%,0%,77%,63%,73%,Matemáticas
152250000558,EL CHARCO,INSTITUCION EDUCATIVA RIO TAPAJE,45,Similar,11,Similar,19%,48%,33%,0%,61%,50%,66%,Matemáticas
352250000514,EL CHARCO,INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DEL CARMEN,43,Mayor,8,Mayor,21%,61%,18%,0%,69%,57%,71%,Matemáticas
252250000072,EL CHARCO,INSTITUCION EDUCATIVA SAN JOSE DEL TAPAJE,36,Mayor,10,Similar,56%,38%,6%,0%,79%,67%,78%,Matemáticas
152250001082,EL CHARCO,INSTITUCION EDUCATIVA EL CANAL NOCTURNO MARIANO OSPINA PEREZ,34,Mayor,6,Mayor,62%,38%,0%,0%,80%,68%,78%,Matemáticas
252250000307,EL CHARCO,INSTITUCION  EDUCATIVA EL HORMIGUERO,32,Mayor,5,Mayor,64%,36%,0%,0%,85%,73%,78%,Matemáticas
252250000722,EL CHARCO,INSTITUCION EDUCATIVA DE BAZAN,36,Mayor,9,Similar,50%,38%,13%,0%,79%,69%,89%,Matemáticas
252250000129,EL CHARCO,INSTITUCION  EDUCATIVA LA TRIBUNA,30,Mayor,6,Mayor,80%,20%,0%,0%,65%,63%,79%,Matemáticas
252260000062,EL PEÑOL,INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS,51,Similar,11,Similar,7%,45%,48%,0%,66%,35%,65%,Matemáticas
252260000275,EL PEÑOL,INSTITUCION EDUCATIVA JORGE ELIECER GAITAN,54,Similar,13,Similar,6%,30%,55%,9%,57%,36%,53%,Matemáticas
252256000619,EL ROSARIO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,54,Similar,13,Similar,0%,29%,57%,14%,44%,29%,63%,Matemáticas
25225600018,EL ROSARIO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL ROSARIO,49,Similar,9,Similar,9%,43%,48%,0%,73%,46%,63%,Matemáticas
252256000139,EL ROSARIO,INSTITUCION EDUCATIVA SANTA ROSA DE LIMA,48,Similar,8,Mayor,0%,67%,33%,0%,68%,44%,64%,Matemáticas
252256000244,EL ROSARIO,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,45,Similar,11,Similar,14%,64%,23%,0%,67%,49%,68%,Matemáticas
252258000233,EL TABLÓN DE GÓMEZ,INSTITUCION  EDUCATIVA  LAS MESAS  INSEM,58,Similar,11,Similar,2%,30%,48%,20%,52%,29%,44%,Matemáticas
152258000212,EL TABLÓN DE GÓMEZ,INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE LAS MERCEDES,50,Similar,12,Similar,10%,44%,43%,3%,70%,44%,58%,Matemáticas
25225800039,EL TABLÓN DE GÓMEZ,INSTITUCION EDUCATIVO  AGROPECUARIA INGA DE APONTE,54,Similar,10,Similar,9%,23%,68%,0%,61%,33%,48%,Matemáticas
252258000144,EL TABLÓN DE GÓMEZ,INSTITUCIÓN EDUCATIVA FATIMA,59,Menor,14,Similar,0%,43%,43%,14%,67%,32%,39%,Matemáticas
252258000179,EL TABLÓN DE GÓMEZ,INSTITUCIÓN EDUCATIVA AGROINDUSTRIAL LA VICTORIA CON ÉNFASIS EN LA PRODUCCIÓN DE CAFÉS ESPECIALES,51,Similar,6,Mayor,0%,25%,75%,0%,79%,38%,72%,Matemáticas
252258000101,EL TABLÓN DE GÓMEZ,INSTITUCIÓN EDUCATIVA POMPEYA,58,Similar,9,Similar,0%,40%,60%,0%,65%,35%,35%,Matemáticas
152260000017,EL TAMBO,INSTITUCION EDUCATIVA JESUS NAZARENO,51,Similar,10,Similar,6%,40%,52%,2%,57%,44%,67%,Matemáticas
252260000054,EL TAMBO,INSTITUCION EDUCATIVA SAN PEDRO,54,Similar,10,Similar,0%,41%,47%,12%,57%,35%,61%,Matemáticas
15226000019,EL TAMBO,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,55,Similar,10,Similar,4%,26%,63%,6%,57%,31%,49%,Matemáticas
252287000218,FUNES,INSTITUCION EDUCATIVA AGROPECUARIA MARISCAL SUCRE,54,Similar,6,Mayor,0%,36%,64%,0%,59%,30%,51%,Matemáticas
352287000018,FUNES,INSTITUCION EDUCATIVA MUNICIPIO DE FUNES,50,Similar,11,Similar,10%,44%,41%,5%,62%,46%,57%,Matemáticas
252287000048,FUNES,INSTITUCIÓN EDUCATIVA GUAPUSCAL ALTO,46,Similar,9,Similar,14%,57%,29%,0%,66%,50%,77%,Matemáticas
252317000404,GUACHUCAL,INSTITUCION EDUCATIVA TECNICA AGROPECUARIA SAN DIEGO,45,Similar,10,Similar,13%,56%,31%,0%,76%,42%,63%,Matemáticas
152317000035,GUACHUCAL,INSTITUCION EDUCATIVA GENARO LEON,64,Menor,11,Similar,0%,11%,70%,19%,42%,25%,32%,Matemáticas
252317000412,GUACHUCAL,INSTITUCION EDUCATIVA TECNICA AGROPECUARIA INDIGENA LIBARDO RAMIRO MUÑOZ,57,Similar,11,Similar,0%,38%,38%,23%,55%,23%,60%,Matemáticas
252317000081,GUACHUCAL,INSTITUCION EDUCATIVA SAN JOSE DE CHILLANQUER,51,Similar,10,Similar,0%,55%,45%,0%,57%,41%,57%,Matemáticas
252320000083,GUAITARILLA,INSTITUCION EDUCATIVA SAN ALEJANDRO,48,Similar,10,Similar,9%,64%,27%,0%,56%,52%,70%,Matemáticas
152320000038,GUAITARILLA,INSTITUCION EDUCATIVA TECNICA MARIA AUXILIADORA,60,Menor,8,Mayor,0%,13%,78%,9%,45%,33%,39%,Matemáticas
152320000011,GUAITARILLA,INSTITUCION EDUCATIVA NUESTRA SEÑORA DE LAS NIEVES,58,Similar,10,Similar,0%,28%,62%,10%,56%,35%,46%,Matemáticas
25232300019,GUALMATÁN,INSTITUCION EDUCATIVA TECNICA SANTO TOMAS,56,Similar,8,Mayor,0%,30%,70%,0%,54%,39%,51%,Matemáticas
152323000161,GUALMATÁN,INSTITUCION EDUCATIVA TECNICA PROMOCION SOCIAL,51,Similar,9,Similar,4%,43%,54%,0%,58%,38%,60%,Matemáticas
152323000063,GUALMATÁN,INSTITUCION EDUCATIVA SAN JOSE,61,Menor,9,Similar,0%,14%,77%,9%,48%,29%,40%,Matemáticas
252352000166,ILES,INSTITUCION EDUCATIVA DEL NORTE MUNICIPIO DE ILES,48,Similar,6,Mayor,0%,68%,32%,0%,71%,50%,63%,Matemáticas
252352000263,ILES,INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS,50,Similar,7,Mayor,0%,50%,50%,0%,70%,41%,62%,Matemáticas
25235200014,ILES,INSTITUCION EDUCATIVA COLEGIO JOSE ANTONIO GALAN,54,Similar,11,Similar,3%,39%,49%,8%,62%,33%,50%,Matemáticas
152354000096,IMUÉS,INSTITUCION EDUCATIVA MARIA LUZ,55,Similar,10,Similar,0%,38%,57%,5%,60%,32%,54%,Matemáticas
252354000341,IMUÉS,INSTITUCION EDUCATIVA  AGROPECUARIA SANTA ANA,57,Similar,6,Mayor,0%,8%,92%,0%,54%,31%,54%,Matemáticas
252354000317,IMUÉS,INSTITUCION EDUCATIVA JESUS DEL GRAN PODER,54,Similar,6,Mayor,0%,37%,63%,0%,65%,36%,52%,Matemáticas
252378000083,LA CRUZ,INSTITUCION EDUCATIVA  MICROEMPRESARIAL DE CABUYALES,50,Similar,9,Similar,17%,17%,67%,0%,65%,54%,69%,Matemáticas
152378000038,LA CRUZ,INSTITUCION EDUCATIVA NORMAL SUPERIOR DEL MAYO,53,Similar,12,Similar,4%,39%,50%,6%,63%,37%,58%,Matemáticas
152378000429,LA CRUZ,INSTITUCION EDUCATIVA TECNICA SAN FRANCISCO DE ASIS,46,Similar,10,Similar,17%,44%,39%,0%,60%,43%,74%,Matemáticas
152378000623,LA CRUZ,INSTITUCION EDUCATIVA DE BACHILLERATO,55,Similar,10,Similar,2%,34%,62%,2%,57%,40%,51%,Matemáticas
252378000067,LA CRUZ,INSTITUCION EDUCATIVA TECNICA INDUSTRIAL SAN GERARDO,46,Similar,8,Mayor,8%,67%,25%,0%,74%,42%,63%,Matemáticas
25237800075,LA CRUZ,INSTITUCION EDUCATIVA  AGROPECUARIA MIGUEL ANGEL RANGEL,49,Similar,12,Similar,10%,43%,48%,0%,70%,40%,61%,Matemáticas
252381000418,LA FLORIDA,INSTITUCION EDUCATIVA NUESTRA SEÑORA DELCARMEN,55,Similar,7,Mayor,0%,35%,65%,0%,58%,40%,50%,Matemáticas
252381000442,LA FLORIDA,INSTITUCION EDUCATIVA SAN JOSE DE MATITUY,51,Similar,11,Similar,9%,45%,45%,0%,60%,43%,65%,Matemáticas
15238100012,LA FLORIDA,INSTITUCION EDUCATIVA SAN BARTOLOME DE LA FLORIDA,58,Similar,13,Similar,8%,19%,58%,15%,60%,33%,44%,Matemáticas
252381000451,LA FLORIDA,INSTITUCION EDUCATIVA LA INMACULADA DE ROBLES,52,Similar,13,Similar,11%,17%,61%,11%,56%,26%,54%,Matemáticas
452381000387,LA FLORIDA,INSTITUCION EDUCATIVA GUSTIN SANTACRUZ,70,Menor,12,Similar,0%,0%,50%,50%,28%,31%,28%,Matemáticas
252418000332,LA LLANADA,INSTITUCION EDUCATIVA DEPTAL JUAN PABLO I,52,Similar,11,Similar,6%,49%,41%,4%,70%,39%,54%,Matemáticas
252385005468,LA LLANADA,INSTITUCION EDUCATIVA TÉCNICO AGROPECUARIA RODRIGO LARA BONILLA,44,Similar,8,Mayor,14%,71%,14%,0%,69%,57%,66%,Matemáticas
252250000862,LA TOLA,INSTITUCION EDUCATIVA SOFONIAS YACUP,36,Mayor,8,Mayor,51%,43%,7%,0%,78%,70%,73%,Matemáticas
252250000421,LA TOLA,INSTITUCION EDUCATIVA AGROPECUARIA Y AMBIENTAL ARCA DE NOE,39,Mayor,7,Mayor,33%,58%,8%,0%,79%,56%,75%,Matemáticas
252250000676,LA TOLA,INSTITUCIÓN EDUCATIVA SAN PABLO DE LA MAR,31,Mayor,6,Mayor,71%,29%,0%,0%,82%,79%,77%,Matemáticas
15239900033,LA UNIÓN,INSTITUCION EDUCATIVA JUANAMBU,53,Similar,11,Similar,7%,35%,52%,5%,62%,39%,59%,Matemáticas
152399000071,LA UNIÓN,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAN CARLOS,56,Similar,10,Similar,2%,28%,60%,10%,54%,29%,49%,Matemáticas
252399000016,LA UNIÓN,INSTITUCION EDUCATIVA SANTANDER,60,Menor,9,Similar,0%,15%,77%,8%,46%,29%,47%,Matemáticas
252399000113,LA UNIÓN,INSTITUCION EDUCATIVA DE DESARROLLO RURAL,53,Similar,14,Similar,10%,42%,35%,13%,53%,41%,60%,Matemáticas
25239900027,LA UNIÓN,INSTITUCIÓN EDUCATIVA PALO VERDE,48,Similar,10,Similar,11%,48%,37%,4%,65%,43%,64%,Matemáticas
552399000067,LA UNIÓN,COLEGIO PRIVADO AURELIO ARTURO,43,Mayor,10,Similar,20%,59%,20%,0%,74%,56%,68%,Matemáticas
252405000651,LEIVA,INSTITUCION EDUCATIVA LAS DELICIAS,48,Similar,7,Mayor,7%,67%,27%,0%,77%,37%,67%,Matemáticas
152405000631,LEIVA,INSTITUCION EDUCATIVA EL PALMAR,45,Similar,10,Similar,8%,72%,16%,4%,69%,55%,67%,Matemáticas
