codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
105138000121,CAÑASGORDAS,I. E. NICOLAS GAVIRIA,48,Similar,10,Similar,56%,27%,11%,6%,0%,Inglés
305138000015,CAÑASGORDAS,INSTITUCION EDUCATIVA SAN PIO X,42,Similar,6,Mayor,76%,24%,0%,0%,0%,Inglés
205138000088,CAÑASGORDAS,INSTITUCION EDUCATIVA RURAL SAN PASCUAL,39,Mayor,6,Mayor,91%,9%,0%,0%,0%,Inglés
205138000649,CAÑASGORDAS,I. E. R. BERNARDO SIERRA,42,Similar,9,Similar,79%,14%,7%,0%,0%,Inglés
205138000142,CAÑASGORDAS,I. E. R. BUENOS AIRES,42,Similar,7,Mayor,79%,17%,3%,0%,0%,Inglés
105142000136,CARACOLÍ,I. E. GABRIEL CORREA VELEZ,45,Similar,8,Similar,69%,19%,11%,0%,0%,Inglés
20514500014,CARAMANTA,I. E. R. ALEGRIAS,39,Mayor,6,Mayor,93%,7%,0%,0%,0%,Inglés
105145000145,CARAMANTA,I. E. JUAN PABLO GOMEZ OCHOA,41,Similar,10,Similar,76%,18%,5%,0%,0%,Inglés
105147000401,CAREPA,INSTITUCION EDUCATIVA COLOMBIA,48,Similar,9,Similar,58%,33%,5%,3%,1%,Inglés
205147000112,CAREPA,INSTITUCION EDUCATIVA RURAL VILLA NELLY,43,Similar,7,Mayor,74%,24%,2%,0%,0%,Inglés
105147000568,CAREPA,INSTITUCION EDUCATIVA JOSE MARIA MUÑOZ FLOREZ,50,Similar,10,Similar,48%,29%,17%,4%,2%,Inglés
205045000363,CAREPA,INSTITUCION EDUCATIVA RURAL ZUNGO EMBARCADERO,44,Similar,8,Similar,72%,23%,5%,0%,0%,Inglés
105147000045,CAREPA,I. E. LUIS CARLOS GALAN SARMIENTO,53,Similar,11,Similar,34%,30%,28%,8%,0%,Inglés
205147000147,CAREPA,INSTITUCION EDUCATIVA RURAL LA CADENA,43,Similar,7,Mayor,81%,14%,5%,0%,0%,Inglés
20514700035,CAREPA,I. E. R. PIEDRAS BLANCAS,41,Similar,7,Mayor,82%,18%,0%,0%,0%,Inglés
205147000996,CAREPA,I.E.R. LA PROVINCIA,45,Similar,9,Similar,68%,25%,6%,0%,2%,Inglés
205147000457,CAREPA,I.E.R. EL CERRO,42,Similar,9,Similar,74%,20%,6%,0%,0%,Inglés
305148000994,EL CARMEN DE VIBORAL,COLEGIO ANGLO ESPAÑOL,76,Menor,12,Similar,0%,0%,18%,36%,45%,Inglés
105148000863,EL CARMEN DE VIBORAL,INSTITUCIÓN EDUCATIVA RURAL CAMPESTRE NUEVO HORIZONTE,47,Similar,11,Similar,56%,29%,10%,0%,5%,Inglés
105148000308,EL CARMEN DE VIBORAL,I. E. FRAY JULIO TOBON B.,54,Similar,12,Similar,33%,32%,18%,14%,3%,Inglés
205148000469,EL CARMEN DE VIBORAL,INSTITUCION EDUCATIVA RURAL LA AURORA,47,Similar,10,Similar,46%,37%,17%,0%,0%,Inglés
